Noah Robotham,29,27,31.8,3.1,7.6,.416,1.2,2.7,.443,1.9,4.8,.400,1.4,1.9,.750,0.4,2.3,2.8,3.7,1.2,0.1,1.4,1.8,9.7,0
Pat Forsythe,22,19,19.7,3.5,7.1,.484,3.5,7.1,.487,0.0,0.0,.000,1.7,2.6,.667,1.6,3.2,4.9,0.6,0.7,1.4,1.5,2.3,8.6,0
Jake Kretzer,34,8,25.0,2.6,6.1,.431,0.5,0.9,.500,2.2,5.2,.418,0.8,0.9,.871,1.0,3.1,4.1,1.3,0.6,0.1,0.6,2.2,8.3,0
Kwan Cheatham,35,34,22.5,2.5,6.7,.370,1.4,3.5,.405,1.1,3.3,.333,1.1,1.7,.667,1.3,3.7,4.9,1.6,0.2,1.0,1.3,2.6,7.2,0
Josh Williams,34,5,18.9,2.2,5.4,.404,0.5,1.3,.372,1.7,4.1,.414,0.6,0.8,.769,0.5,2.0,2.5,1.4,0.4,0.1,1.4,1.3,6.6,0
Aaron Jackson,29,6,9.8,0.9,2.3,.403,0.6,1.1,.516,0.4,1.2,.306,0.7,0.9,.704,0.6,0.6,1.2,0.4,0.2,0.1,0.4,1.4,2.9,0
Jimond Ivey,32,0,8.6,0.9,2.3,.403,0.8,1.5,.490,0.2,0.7,.217,0.6,1.0,.576,0.3,1.3,1.6,0.7,0.3,0.1,0.6,0.9,2.6,0
Carlitos Anderson,5,0,2.6,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,0.0,0.0,,0.0,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.6,0
Mark Noble,5,0,2.8,0.2,0.6,.333,0.2,0.4,.500,0.0,0.2,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.4,0.4,0
Peter Agba,1,0,10.0,0.0,4.0,.000,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,4.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0
Daniel Utomi,2,0,2.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0
Isaiah Johnson,36,36,29.9,6.2,9.9,.625,6.2,9.9,.628,0.0,0.1,.000,4.2,7.2,.587,2.9,4.3,7.1,2.9,0.5,0.9,2.3,2.6,16.6,0
Kwan Cheatham,36,35,28.6,3.8,9.2,.410,1.6,3.6,.450,2.2,5.6,.384,1.3,1.6,.797,1.5,5.7,7.2,1.8,0.5,1.0,1.5,2.7,11.0,0
